trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q
3,13,"(8, 8)",1,col_based,4,2,False,True,False,True,10,519.5,0.9995068935312841,0.999508291275244,0.9995094998273969,0.9999987908547612,1,0.9999989784118476,0.999999965947041,0.9999996572091338,512,606,128,0,2577
4,13,"(8, 8)",1,col_based,4,2,False,True,False,True,10,446.5,0.999837174539339,0.9998385191470226,0.9998397280984694,0.9999987908547612,1,0.9999989784118476,0.999999965947041,0.9999997108159242,512,606,128,0,2174
0,13,"(10, 10)",1,col_based,2,2,False,True,False,True,10,775.5,0.9993965299989517,0.9993990277946487,0.9994010478111419,0.9999979787728884,1,0.9999984037689705,0.9999999467922521,0.9999991501395851,800,1013,200,0,6389
1,13,"(10, 10)",1,col_based,2,2,False,True,False,True,10,836.5,0.9989656636830483,0.9989682263114125,0.9989701965963059,0.9999980286550483,0.9999999990289586,0.9999984037689705,0.9999999467922521,0.9999990841620342,800,988,200,1,6885
2,13,"(10, 10)",1,col_based,2,2,False,True,False,True,10,835.0,0.9988738919665721,0.9988764639261503,0.9988784998007946,0.9999979628105977,0.9999999990289586,0.9999984037689705,0.9999999467922521,0.9999990745846481,800,1021,200,1,6957
3,13,"(10, 10)",1,col_based,2,2,False,True,False,True,10,823.0,0.9982789662831649,0.9982815316648436,0.9982835533532335,0.999997976777602,0.9999999980579173,0.9999984037689705,0.9999999467922521,0.9999990796393796,800,1014,200,2,6919
4,13,"(10, 10)",1,col_based,2,2,False,True,False,True,10,833.5,0.9990110565387843,0.9990136174231596,0.9990155888208195,0.9999980266597619,1,0.9999984037689705,0.9999999467922521,0.9999990860243038,800,989,200,0,6871
0,13,"(10, 10)",1,col_based,3,2,False,True,False,True,10,701.0,0.9993966307667946,0.9993990277946487,0.9994010478111419,0.9999979787728884,1,0.9999984037689705,0.9999999467922521,0.9999992509681894,800,1013,200,0,5631
1,13,"(10, 10)",1,col_based,3,2,False,True,False,True,10,758.5,0.9989657473985772,0.9989682263114125,0.9989701965963059,0.9999980286550483,0.9999999990289586,0.9999984037689705,0.9999999467922521,0.9999991679641661,800,988,200,1,6255
2,13,"(10, 10)",1,col_based,3,2,False,True,False,True,10,766.5,0.9988739827164987,0.9988764639261503,0.9988784998007946,0.9999979628105977,0.9999999990289586,0.9999984037689705,0.9999999467922521,0.9999991654368001,800,1021,200,1,6274
3,13,"(10, 10)",1,col_based,3,2,False,True,False,True,10,743.5,0.9982790838027135,0.9982815316648436,0.9982835533532335,0.999997976777602,0.9999999980579173,0.9999984037689705,0.9999999467922521,0.9999991973614236,800,1014,200,2,6034
4,13,"(10, 10)",1,col_based,3,2,False,True,False,True,10,769.5,0.9990111103583547,0.9990136174231596,0.9990155888208195,0.9999980266597619,1,0.9999984037689705,0.9999999467922521,0.9999991398971021,800,989,200,0,6466
0,13,"(10, 10)",1,col_based,4,2,False,True,False,True,10,665.0,0.9993966556264091,0.9993990277946487,0.9994010478111419,0.9999979787728884,1,0.9999984037689705,0.9999999467922521,0.9999992758427939,800,1013,200,0,5444
1,13,"(10, 10)",1,col_based,4,2,False,True,False,True,10,736.0,0.9989657798217365,0.9989682263114125,0.9989701965963059,0.9999980286550483,0.9999999990289586,0.9999984037689705,0.9999999467922521,0.9999992004208668,800,988,200,1,6011
2,13,"(10, 10)",1,col_based,4,2,False,True,False,True,10,743.5,0.998874003842764,0.9988764639261503,0.9988784998007946,0.9999979628105977,0.9999999990289586,0.9999984037689705,0.9999999467922521,0.999999186586863,800,1021,200,1,6115
3,13,"(10, 10)",1,col_based,4,2,False,True,False,True,10,716.0,0.9982791090329008,0.9982815316648436,0.9982835533532335,0.999997976777602,0.9999999980579173,0.9999984037689705,0.9999999467922521,0.9999992226350846,800,1014,200,2,5844
4,13,"(10, 10)",1,col_based,4,2,False,True,False,True,10,744.5,0.9990111607228442,0.9990136174231596,0.9990155888208195,0.9999980266597619,1,0.9999984037689705,0.9999999467922521,0.9999991903114025,800,989,200,0,6087
