method,n_qubit,qubit_layout,placement,n_aods,skip_rus,trivial_return,decompose_move,parallel_execution,mean_fidelity,std_fidelity,n_samples,infidelity,code_distance,fidelity_target,factory_physical_size
t_cultivation,36,"(6, 6)",col_based,4,N/A,N/A,N/A,N/A,0.9999807587879752,4.201623013337838e-08,5,1.924121202478979e-05,13.0,1e-10,4.0
t_cultivation,36,"(6, 6)",col_based,5,N/A,N/A,N/A,N/A,0.9999807587879752,4.201623013337838e-08,5,1.924121202478979e-05,13.0,1e-10,4.0
raw,64,"(8, 8)",N/A,N/A,N/A,N/A,N/A,N/A,0.5799502032560344,,1,0.4200497967439656,,,
star,64,"(8, 8)",checkerboard,5,2,False,False,False,0.9972290084537567,0.0017359167914995448,10,0.0027709915462432733,,,
star,64,"(8, 8)",checkerboard,5,2,False,True,False,0.9972290084537567,0.0017359167914995448,10,0.0027709915462432733,,,
star,64,"(8, 8)",checkerboard,4,2,False,False,False,0.9972751853598565,0.001682810604706262,10,0.0027248146401435136,,,
star,64,"(8, 8)",checkerboard,4,2,False,True,False,0.9972751853598565,0.001682810604706262,10,0.0027248146401435136,,,
star,64,"(8, 8)",checkerboard,1,2,False,False,True,0.9973793847611987,0.0016108431359700417,10,0.002620615238801305,,,
star,64,"(8, 8)",checkerboard,1,0,False,False,False,0.9973980816988794,0.0019165583137299301,10,0.0026019183011205538,,,
star,64,"(8, 8)",checkerboard,2,0,False,False,False,0.9973980816988794,0.0019165583137299301,10,0.0026019183011205538,,,
star,64,"(8, 8)",checkerboard,3,0,False,False,False,0.9973980816988794,0.0019165583137299301,10,0.0026019183011205538,,,
star,64,"(8, 8)",checkerboard,4,0,False,False,False,0.9973980816988794,0.0019165583137299301,10,0.0026019183011205538,,,
star,64,"(8, 8)",checkerboard,5,0,False,False,False,0.9973980816988794,0.0019165583137299301,10,0.0026019183011205538,,,
star,64,"(8, 8)",checkerboard,3,2,False,False,True,0.9974133423206236,0.00174989277646208,10,0.0025866576793763807,,,
star,64,"(8, 8)",col_based,1,2,False,False,False,0.9974317390669251,0.0017765191182871783,10,0.0025682609330749395,,,
star,64,"(8, 8)",col_based,1,2,False,True,False,0.9974317390669251,0.0017765191182871783,10,0.0025682609330749395,,,
star,64,"(8, 8)",checkerboard,2,1,False,False,False,0.9974524804404561,0.0015492243810860222,10,0.0025475195595439093,,,
star,64,"(8, 8)",col_based,1,0,False,False,False,0.9974623264636359,0.0017608631891165474,10,0.002537673536364138,,,
star,64,"(8, 8)",col_based,2,0,False,False,False,0.9974623264636359,0.0017608631891165474,10,0.002537673536364138,,,
star,64,"(8, 8)",col_based,3,0,False,False,False,0.9974623264636359,0.0017608631891165474,10,0.002537673536364138,,,
star,64,"(8, 8)",col_based,4,0,False,False,False,0.9974623264636359,0.0017608631891165474,10,0.002537673536364138,,,
star,64,"(8, 8)",col_based,5,0,False,False,False,0.9974623264636359,0.0017608631891165474,10,0.002537673536364138,,,
star,64,"(8, 8)",checkerboard,1,1,False,False,False,0.9974892894368186,0.0016134460578327548,10,0.0025107105631814175,,,
star,64,"(8, 8)",col_based,1,1,False,False,False,0.9974927288396312,0.001783793662423244,10,0.0025072711603687514,,,
star,64,"(8, 8)",col_based,3,2,False,False,False,0.9975019846005406,0.0015451705592959806,10,0.0024980153994593746,,,
star,64,"(8, 8)",col_based,3,2,False,True,False,0.9975019846005406,0.0015451705592959806,10,0.0024980153994593746,,,
star,64,"(8, 8)",col_based,4,1,False,False,False,0.997510793266158,0.0016411920704471929,10,0.0024892067338420087,,,
star,64,"(8, 8)",col_based,5,1,False,False,False,0.997510793266158,0.0016411920704471929,10,0.0024892067338420087,,,
star,64,"(8, 8)",col_based,3,1,False,False,False,0.9975120095628579,0.0015678252089538656,10,0.0024879904371420958,,,
star,64,"(8, 8)",col_based,4,2,False,False,False,0.9975155112458582,0.0015299829816299148,10,0.002484488754141756,,,
star,64,"(8, 8)",col_based,4,2,False,True,False,0.9975155112458582,0.0015299829816299148,10,0.002484488754141756,,,
star,64,"(8, 8)",checkerboard,5,2,False,False,True,0.9975176928992606,0.0016319575002045272,10,0.002482307100739378,,,
star,64,"(8, 8)",col_based,1,2,False,False,True,0.9975208779728229,0.001944476837350366,10,0.0024791220271771497,,,
star,64,"(8, 8)",col_based,1,0,False,False,True,0.9975345448330095,0.0016865412863678552,10,0.0024654551669904823,,,
star,64,"(8, 8)",col_based,2,0,False,False,True,0.9975345448330095,0.0016865412863678552,10,0.0024654551669904823,,,
star,64,"(8, 8)",col_based,3,0,False,False,True,0.9975345448330095,0.0016865412863678552,10,0.0024654551669904823,,,
star,64,"(8, 8)",col_based,4,0,False,False,True,0.9975345448330095,0.0016865412863678552,10,0.0024654551669904823,,,
star,64,"(8, 8)",col_based,5,0,False,False,True,0.9975345448330095,0.0016865412863678552,10,0.0024654551669904823,,,
star,64,"(8, 8)",col_based,5,2,False,False,False,0.9975361747213386,0.001509413103091597,10,0.0024638252786614023,,,
star,64,"(8, 8)",col_based,5,2,False,True,False,0.9975361747213386,0.001509413103091597,10,0.0024638252786614023,,,
star,64,"(8, 8)",checkerboard,3,2,False,False,False,0.9975424705923134,0.001567529227956997,10,0.0024575294076866205,,,
star,64,"(8, 8)",checkerboard,3,2,False,True,False,0.9975424705923134,0.001567529227956997,10,0.0024575294076866205,,,
