n_qubits,qubit_cols,qubit_rows,round,code_distance,placement,n_aods,total_time,movement_time,return_movement_time,TMR_round,RUS_round,max_rus_per_qubit,avg_rus_per_qubit,initial_angle,largest_angle,tmr_total,rus_total,trial,fidelity_target,factory_physical_size
16,4,4,2,7,col_based,5,1047.5,136.5,109.0,0.0,83.0,40,20.0,,,0,163,2,1e-08,2
16,4,4,3,7,col_based,5,1041.5,247.0,212.0,0.0,74.0,40,20.0,,,0,166,2,1e-08,2
16,4,4,4,7,col_based,5,1788.5,265.0,189.0,0.0,117.0,39,39.0,,,0,324,2,1e-08,2
16,4,4,5,7,col_based,5,1085.0,212.0,174.5,0.0,81.0,40,20.0,,,0,143,2,1e-08,2
16,4,4,6,7,col_based,5,1071.0,209.5,175.0,0.0,79.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,7,7,col_based,5,929.5,132.0,106.0,0.0,69.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,8,7,col_based,5,1200.5,271.5,241.5,0.0,80.0,40,20.0,,,0,157,2,1e-08,2
16,4,4,0,7,col_based,5,985.0,212.0,163.5,0.0,73.0,40,20.0,,,0,161,3,1e-08,2
16,4,4,1,7,col_based,5,1051.0,208.5,166.0,0.0,78.0,40,20.0,,,0,155,3,1e-08,2
16,4,4,2,7,col_based,5,1000.5,134.5,110.0,0.0,81.0,40,20.0,,,0,164,3,1e-08,2
16,4,4,3,7,col_based,5,1207.5,273.5,230.5,0.0,81.0,40,20.0,,,0,143,3,1e-08,2
16,4,4,4,7,col_based,5,1729.0,247.5,180.5,0.0,116.0,39,39.0,,,0,317,3,1e-08,2
16,4,4,5,7,col_based,5,1106.0,186.5,156.5,0.0,82.0,40,20.0,,,0,147,3,1e-08,2
16,4,4,6,7,col_based,5,1127.0,221.5,186.5,0.0,83.0,40,20.0,,,0,160,3,1e-08,2
16,4,4,7,7,col_based,5,1010.0,146.5,112.5,0.0,79.0,40,20.0,,,0,172,3,1e-08,2
16,4,4,8,7,col_based,5,1158.5,265.5,227.0,0.0,77.0,40,20.0,,,0,139,3,1e-08,2
16,4,4,0,7,col_based,5,1005.0,207.5,165.0,0.0,76.0,40,20.0,,,0,145,4,1e-08,2
16,4,4,1,7,col_based,5,1018.0,189.0,159.0,0.0,78.0,40,20.0,,,0,162,4,1e-08,2
16,4,4,2,7,col_based,5,995.0,150.0,110.0,0.0,79.0,40,20.0,,,0,166,4,1e-08,2
16,4,4,3,7,col_based,5,1142.5,285.5,234.0,0.0,77.0,40,20.0,,,0,165,4,1e-08,2
16,4,4,4,7,col_based,5,1846.5,275.5,196.0,0.0,124.0,39,39.0,,,0,319,4,1e-08,2
16,4,4,5,7,col_based,5,1085.5,226.0,192.0,0.0,77.0,40,20.0,,,0,173,4,1e-08,2
16,4,4,6,7,col_based,5,1067.0,191.5,156.0,0.0,79.0,40,20.0,,,0,150,4,1e-08,2
16,4,4,7,7,col_based,5,966.0,135.5,109.5,0.0,77.0,40,20.0,,,0,153,4,1e-08,2
16,4,4,8,7,col_based,5,1147.0,247.0,207.0,0.0,80.0,40,20.0,,,0,163,4,1e-08,2
36,6,6,0,7,col_based,1,1672.5,514.5,356.5,0.0,80.0,40,20.0,,,0,371,0,1e-08,2
36,6,6,1,7,col_based,1,1660.0,512.0,339.5,0.0,82.0,40,20.0,,,0,358,0,1e-08,2
36,6,6,2,7,col_based,1,1482.0,397.5,245.0,0.0,83.0,40,20.0,,,0,359,0,1e-08,2
36,6,6,3,7,col_based,1,1911.0,635.5,432.0,0.0,80.0,40,20.0,,,0,370,0,1e-08,2
36,6,6,4,7,col_based,1,2728.5,771.0,415.0,0.0,125.0,39,39.0,,,0,711,0,1e-08,2
36,6,6,5,7,col_based,1,1681.0,487.0,340.5,0.0,82.0,40,20.0,,,0,353,0,1e-08,2
36,6,6,6,7,col_based,1,1744.5,529.0,373.5,0.0,84.0,40,20.0,,,0,390,0,1e-08,2
36,6,6,7,7,col_based,1,1464.5,375.0,235.0,0.0,83.0,40,20.0,,,0,369,0,1e-08,2
