trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,J,h,dt,n_trotter_steps,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h
1,7,1e-08,2,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9515749674563014,0.9625126622601202,0.9904782348527518,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
2,7,1e-08,2,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9516305410977045,0.9625126622601202,0.9905360805129716,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
3,7,1e-08,2,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9517625415041322,0.9625126622601202,0.9906734774958997,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
4,7,1e-08,2,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9516986232315837,0.9625126622601202,0.9906069460507338,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
0,7,1e-08,2,"(10, 10)",col_based,100,100,1,1.0,1.0,0.00146,1,0.9255057037837671,0.9420470209679456,0.9852212035711703,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
1,7,1e-08,2,"(10, 10)",col_based,100,100,1,1.0,1.0,0.00146,1,0.9256084036693152,0.9420470209679456,0.9853305298610383,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
2,7,1e-08,2,"(10, 10)",col_based,100,100,1,1.0,1.0,0.00146,1,0.9254935427098401,0.9420470209679456,0.9852082578401586,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
3,7,1e-08,2,"(10, 10)",col_based,100,100,1,1.0,1.0,0.00146,1,0.9253935577157828,0.9420470209679456,0.9851018216120712,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
4,7,1e-08,2,"(10, 10)",col_based,100,100,1,1.0,1.0,0.00146,1,0.9255002988422939,0.9420470209679456,0.9852154498919421,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
0,7,1e-08,2,"(10, 10)",col_based,100,100,2,1.0,1.0,0.00146,1,0.9255057037837671,0.9420470209679456,0.9852212035711703,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
1,7,1e-08,2,"(10, 10)",col_based,100,100,2,1.0,1.0,0.00146,1,0.9256084036693152,0.9420470209679456,0.9853305298610383,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
2,7,1e-08,2,"(10, 10)",col_based,100,100,2,1.0,1.0,0.00146,1,0.9254935427098401,0.9420470209679456,0.9852082578401586,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
3,7,1e-08,2,"(10, 10)",col_based,100,100,2,1.0,1.0,0.00146,1,0.9253935577157828,0.9420470209679456,0.9851018216120712,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
4,7,1e-08,2,"(10, 10)",col_based,100,100,2,1.0,1.0,0.00146,1,0.9255002988422939,0.9420470209679456,0.9852154498919421,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
0,7,1e-08,2,"(10, 10)",col_based,100,100,3,1.0,1.0,0.00146,1,0.9255057037837671,0.9420470209679456,0.9852212035711703,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
1,7,1e-08,2,"(10, 10)",col_based,100,100,3,1.0,1.0,0.00146,1,0.9256084036693152,0.9420470209679456,0.9853305298610383,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
2,7,1e-08,2,"(10, 10)",col_based,100,100,3,1.0,1.0,0.00146,1,0.9254935427098401,0.9420470209679456,0.9852082578401586,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
3,7,1e-08,2,"(10, 10)",col_based,100,100,3,1.0,1.0,0.00146,1,0.9253935577157828,0.9420470209679456,0.9851018216120712,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
4,7,1e-08,2,"(10, 10)",col_based,100,100,3,1.0,1.0,0.00146,1,0.9255002988422939,0.9420470209679456,0.9852154498919421,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
0,7,1e-08,2,"(10, 10)",col_based,100,100,4,1.0,1.0,0.00146,1,0.9255057037837671,0.9420470209679456,0.9852212035711703,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
1,7,1e-08,2,"(10, 10)",col_based,100,100,4,1.0,1.0,0.00146,1,0.9256084036693152,0.9420470209679456,0.9853305298610383,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
2,7,1e-08,2,"(10, 10)",col_based,100,100,4,1.0,1.0,0.00146,1,0.9254935427098401,0.9420470209679456,0.9852082578401586,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
3,7,1e-08,2,"(10, 10)",col_based,100,100,4,1.0,1.0,0.00146,1,0.9253935577157828,0.9420470209679456,0.9851018216120712,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
4,7,1e-08,2,"(10, 10)",col_based,100,100,4,1.0,1.0,0.00146,1,0.9255002988422939,0.9420470209679456,0.9852154498919421,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
0,7,1e-08,2,"(10, 10)",col_based,100,100,5,1.0,1.0,0.00146,1,0.9255057037837671,0.9420470209679456,0.9852212035711703,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
1,7,1e-08,2,"(10, 10)",col_based,100,100,5,1.0,1.0,0.00146,1,0.9256084036693152,0.9420470209679456,0.9853305298610383,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
2,7,1e-08,2,"(10, 10)",col_based,100,100,5,1.0,1.0,0.00146,1,0.9254935427098401,0.9420470209679456,0.9852082578401586,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
3,7,1e-08,2,"(10, 10)",col_based,100,100,5,1.0,1.0,0.00146,1,0.9253935577157828,0.9420470209679456,0.9851018216120712,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
4,7,1e-08,2,"(10, 10)",col_based,100,100,5,1.0,1.0,0.00146,1,0.9255002988422939,0.9420470209679456,0.9852154498919421,0.9998532107452333,0.9998010197971925,0.997602874106024,0.9999200031839136
0,13,1e-08,4,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9999597576173029,0.9999936470156124,0.9999983113605022,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
1,13,1e-08,4,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9999597246032264,0.9999936470156124,0.9999982783451526,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
2,13,1e-08,4,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.999959723632224,0.9999936470156124,0.999998277374113,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
3,13,1e-08,4,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9999597314002421,0.9999936470156124,0.9999982851424305,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
4,13,1e-08,4,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9999597780083503,0.9999936470156124,0.9999983317523358,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
0,13,1e-08,4,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9999597576173029,0.9999936470156124,0.9999983113605022,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
1,13,1e-08,4,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9999597246032264,0.9999936470156124,0.9999982783451526,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
2,13,1e-08,4,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.999959723632224,0.9999936470156124,0.999998277374113,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
3,13,1e-08,4,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9999597314002421,0.9999936470156124,0.9999982851424305,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
4,13,1e-08,4,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9999597780083503,0.9999936470156124,0.9999983317523358,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
0,13,1e-08,4,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.9999597576173029,0.9999936470156124,0.9999983113605022,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
1,13,1e-08,4,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.9999597246032264,0.9999936470156124,0.9999982783451526,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
2,13,1e-08,4,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.999959723632224,0.9999936470156124,0.999998277374113,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
3,13,1e-08,4,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.9999597314002421,0.9999936470156124,0.9999982851424305,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
4,13,1e-08,4,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.9999597780083503,0.9999936470156124,0.9999983317523358,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
0,13,1e-08,4,"(4, 4)",col_based,16,16,4,1.0,1.0,0.00146,1,0.9999597576173029,0.9999936470156124,0.9999983113605022,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
1,13,1e-08,4,"(4, 4)",col_based,16,16,4,1.0,1.0,0.00146,1,0.9999597246032264,0.9999936470156124,0.9999982783451526,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
2,13,1e-08,4,"(4, 4)",col_based,16,16,4,1.0,1.0,0.00146,1,0.999959723632224,0.9999936470156124,0.999998277374113,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
3,13,1e-08,4,"(4, 4)",col_based,16,16,4,1.0,1.0,0.00146,1,0.9999597314002421,0.9999936470156124,0.9999982851424305,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
4,13,1e-08,4,"(4, 4)",col_based,16,16,4,1.0,1.0,0.00146,1,0.9999597780083503,0.9999936470156124,0.9999983317523358,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
0,13,1e-08,4,"(4, 4)",col_based,16,16,5,1.0,1.0,0.00146,1,0.9999597576173029,0.9999936470156124,0.9999983113605022,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
1,13,1e-08,4,"(4, 4)",col_based,16,16,5,1.0,1.0,0.00146,1,0.9999597246032264,0.9999936470156124,0.9999982783451526,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
2,13,1e-08,4,"(4, 4)",col_based,16,16,5,1.0,1.0,0.00146,1,0.999959723632224,0.9999936470156124,0.999998277374113,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
3,13,1e-08,4,"(4, 4)",col_based,16,16,5,1.0,1.0,0.00146,1,0.9999597314002421,0.9999936470156124,0.9999982851424305,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
