trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
2,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9107.5,144,5688,5904,2958,5688,26634,144,0.9972849880152971,0.9984624692945755,0.9996106470456444,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995197812886987,0.9999985600010224,0.0001
3,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9204.0,144,5688,5904,3010,5688,26856,144,0.9972741679034554,0.9984624692945755,0.9996038037926569,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995157795338464,0.9999985600010224,0.0001
4,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9215.0,144,5688,5904,2954,5688,26895,144,0.9972808189491652,0.9984624692945755,0.9996111734516608,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995150765245133,0.9999985600010224,0.0001
5,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9077.5,144,5688,5904,2986,5688,26216,144,0.9972888297584463,0.9984624692945755,0.9996069622112913,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995273161678959,0.9999985600010224,0.0001
6,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9143.0,144,5688,5904,2976,5688,26731,144,0.9972808800999816,0.9984624692945755,0.9996082782220009,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995180327722203,0.9999985600010224,0.0001
7,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9125.0,144,5688,5904,2975,5688,26615,144,0.9972830977246055,0.9984624692945755,0.9996084098231672,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995201237819754,0.9999985600010224,0.0001
8,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9264.0,144,5688,5904,3034,5688,27143,144,0.9972658550582897,0.9984624692945755,0.9996006453840021,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995106061177598,0.9999985600010224,0.0001
9,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9102.5,144,5688,5904,2973,5688,26399,144,0.9972872452174713,0.9984624692945755,0.9996086730255517,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995240173980035,0.9999985600010224,0.0001
0,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20193.0,256,10112,10496,5239,10112,101441,256,0.9942106377544128,0.9972682466363068,0.9993105091617522,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981722225962393,0.9999974400032511,0.0001
1,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,19869.0,256,10112,10496,5195,10112,100314,256,0.9942366046246119,0.9972682466363068,0.9993162979045599,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981925106688807,0.9999974400032511,0.0001
2,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20544.0,256,10112,10496,5137,10112,103187,256,0.99419268260452,0.9972682466363068,0.9993239285713135,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981407921994769,0.9999974400032511,0.0001
