trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
4,9,1e-08,2,"(6, 6)",col_based,36,36,3,False,True,True,1.0,1.0,0.00146,1,0.0001,12778.0,288,7164,7380,3690,7164,38569,180,0.9964693307249604,0.998063876268357,0.9995143194116135,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993046646219316,0.999998200001602,0.0001
0,9,1e-08,2,"(6, 6)",col_based,36,36,4,False,True,True,1.0,1.0,0.00146,1,0.0001,12264.5,288,7164,7380,3747,7164,36687,180,0.996495674681242,0.998063876268357,0.9995068188788596,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993385827507739,0.999998200001602,0.0001
1,9,1e-08,2,"(6, 6)",col_based,36,36,4,False,True,True,1.0,1.0,0.00146,1,0.0001,12308.5,288,7164,7380,3786,7164,37019,180,0.9964845917677378,0.998063876268357,0.9995016869678268,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993325992352762,0.999998200001602,0.0001
2,9,1e-08,2,"(6, 6)",col_based,36,36,4,False,True,True,1.0,1.0,0.00146,1,0.0001,12194.0,288,7164,7380,3736,7164,36688,180,0.9964970998159641,0.998063876268357,0.9995082663457099,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993385647280831,0.999998200001602,0.0001
3,9,1e-08,2,"(6, 6)",col_based,36,36,4,False,True,True,1.0,1.0,0.00146,1,0.0001,12099.0,288,7164,7380,3769,7164,36231,180,0.996500983452762,0.998063876268357,0.9995039239514477,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993468011316615,0.999998200001602,0.0001
4,9,1e-08,2,"(6, 6)",col_based,36,36,4,False,True,True,1.0,1.0,0.00146,1,0.0001,12412.5,288,7164,7380,3690,7164,37359,180,0.9964910758058243,0.998063876268357,0.9995143194116135,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993264715758136,0.999998200001602,0.0001
0,9,1e-08,2,"(8, 8)",col_based,64,64,2,False,True,True,1.0,1.0,0.00146,1,0.0001,16240.0,512,12736,13120,6538,12736,84266,320,0.9934534434750989,0.996560594234236,0.9991396247940496,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.998481448928481,0.999996800005088,0.0001
1,9,1e-08,2,"(8, 8)",col_based,64,64,2,False,True,True,1.0,1.0,0.00146,1,0.0001,16160.5,512,12736,13120,6525,12736,83926,320,0.9934612354154091,0.996560594234236,0.9991413348084681,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9984875714064427,0.999996800005088,0.0001
2,9,1e-08,2,"(8, 8)",col_based,64,64,2,False,True,True,1.0,1.0,0.00146,1,0.0001,16099.5,512,12736,13120,6518,12736,83568,320,0.9934685651625352,0.996560594234236,0.9991422555866749,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9984940180561662,0.999996800005088,0.0001
3,9,1e-08,2,"(8, 8)",col_based,64,64,2,False,True,True,1.0,1.0,0.00146,1,0.0001,16082.0,512,12736,13120,6512,12736,83736,320,0.9934663398950991,0.996560594234236,0.9991430448258133,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9984909928075374,0.999996800005088,0.0001
4,9,1e-08,2,"(8, 8)",col_based,64,64,2,False,True,True,1.0,1.0,0.00146,1,0.0001,16319.5,512,12736,13120,6495,12736,84734,320,0.9934506825381552,0.996560594234236,0.9991452810067576,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9984730215790414,0.999996800005088,0.0001
0,9,1e-08,2,"(8, 8)",col_based,64,64,3,False,True,True,1.0,1.0,0.00146,1,0.0001,14416.5,512,12736,13120,6538,12736,75929,320,0.9936028250218687,0.996560594234236,0.9991396247940496,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9986315865159459,0.999996800005088,0.0001
1,9,1e-08,2,"(8, 8)",col_based,64,64,3,False,True,True,1.0,1.0,0.00146,1,0.0001,14351.5,512,12736,13120,6525,12736,75619,320,0.9936100805522868,0.996560594234236,0.9991413348084681,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9986371696131352,0.999996800005088,0.0001
2,9,1e-08,2,"(8, 8)",col_based,64,64,3,False,True,True,1.0,1.0,0.00146,1,0.0001,14284.0,512,12736,13120,6518,12736,75225,320,0.9936180565002268,0.996560594234236,0.9991422555866749,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9986442655946093,0.999996800005088,0.0001
3,9,1e-08,2,"(8, 8)",col_based,64,64,3,False,True,True,1.0,1.0,0.00146,1,0.0001,14312.5,512,12736,13120,6512,12736,75662,320,0.9936110105686181,0.996560594234236,0.9991430448258133,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9986363951816605,0.999996800005088,0.0001
