trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q,n_rz_seen
9,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,226.5,0.9993504862077283,0.9996111511010425,0.9999800762316842,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9999568009287855,64,123,64,0,216,22
0,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,253.5,0.9992971201298064,0.9995689662142653,0.999931876157533,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999456014742119,64,121,64,0,272,17
1,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,281.5,0.9991372734894669,0.9994156722120073,0.9998355155850349,0.99958008755792,1.0,0.9998080181428767,0.9999744003225566,0.9999390018543608,64,140,64,0,305,20
2,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,216.0,0.9993494276707958,0.9996084929129792,0.9999714172070645,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.999958400861107,64,121,64,0,208,16
3,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,229.5,0.9993595690561796,0.9996242348079544,0.9999751650254148,0.99964906106698,1.0,0.9998080181428767,0.9999744003225566,0.9999528011091814,64,117,64,0,236,17
4,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,207.0,0.999402201391568,0.9996600807215517,0.999987023510592,0.999673052968335,1.0,0.9998080181428767,0.9999744003225566,0.9999596008120281,64,109,64,0,202,15
5,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,247.0,0.9993218410502547,0.9995946934540195,0.9999576127379844,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999446015290103,64,121,64,0,277,19
6,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,200.0,0.9993476237239934,0.9996030899205716,0.9999780119351561,0.9996250697414246,1.0,0.9998080181428767,0.9999744003225566,0.9999620007181899,64,125,64,0,190,15
7,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,269.0,0.999246978224254,0.9995234084658084,0.9999312978320659,0.9995920826089334,1.0,0.9998080181428767,0.9999744003225566,0.9999410017345645,64,136,64,0,295,19
8,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,240.5,0.9990330807647957,0.9993030562734001,0.999662870676084,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999474013780945,64,120,64,0,263,17
9,7,"(4, 4)",1,col_based,1,2,False,True,False,True,10,255.5,0.9992846001351368,0.9995588417522715,0.9999217480196868,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999432016074081,64,121,64,0,284,18
0,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,359.5,0.9992193455185114,0.9995303512711153,0.9999262442656947,0.9996040778038884,1.0,0.9998080181428767,0.9999744003225566,0.9999064043709815,64,132,64,0,468,27
1,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,328.0,0.9993173264389346,0.9996165671417098,0.9999764944287935,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.999918203337347,64,120,64,0,409,25
2,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,402.0,0.999209174870589,0.9995311722411145,0.9999030675632696,0.9996280686256305,1.0,0.9998080181428767,0.9999744003225566,0.9998954054599274,64,124,64,0,523,29
3,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,299.5,0.9993370952754034,0.9996257458077357,0.9999766765556509,0.99964906106698,1.0,0.9998080181428767,0.9999744003225566,0.9999288025275384,64,117,64,0,356,21
4,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,357.0,0.9992904919789577,0.9996023195574227,0.9999682415148944,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.999905604446098,64,122,64,0,472,25
5,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,344.5,0.9992639617053682,0.9995691838260446,0.9999350936536008,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9999122038455255,64,122,64,0,439,26
6,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,334.5,0.9993112764046723,0.9996115149069094,0.9999714403748584,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999172034195437,64,120,64,0,414,27
7,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,394.5,0.9989221903967842,0.99924549422878,0.9996277393248142,0.9996190720000029,0.99999854,0.9998080181428767,0.9999744003225566,0.9998940056071995,64,127,64,1,530,33
8,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,409.5,0.9991420998943553,0.999469872558851,0.9998387455480129,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9998896060828137,64,123,64,0,552,35
9,7,"(4, 4)",1,seperate_region_row,2,0,True,False,False,False,10,313.0,0.9993167087287583,0.9996111511010425,0.9999800762316842,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9999230029567223,64,123,64,0,385,22
